CHROMOSOME	START	END	STRAND	GENE_ID	GENE_NAME
1	1438630	1444832	+	ENSG00000284740.1_1	AL645728.2
1	1447542	1470065	+	ENSG00000197785.14_6	ATAD3A
1	1470158	1476004	-	ENSG00000205090.9_4	TMEM240
1	1477053	1510243	-	ENSG00000160075.12_4	SSU72
1	1509482	1512455	+	ENSG00000215014.5_7	AL645728.1
1	1518890	1519289	-	ENSG00000274481.1_5	AL691432.3
1	1533392	1535515	-	ENSG00000228594.4_7	FNDC10
1	1535694	1538083	+	ENSG00000286989.1_2	AL691432.4
1	1549138	1551175	-	ENSG00000272106.1_6	AL691432.2
1	1550795	1565990	+	ENSG00000197530.12_7	MIB2
1	1567542	1570639	+	ENSG00000189409.14_6	MMP23B
1	1570603	1590473	-	ENSG00000248333.8_4	CDK11B
1	1590786	1594063	+	ENSG00000272004.1_6	FO704657.1
1	1590990	1624234	-	ENSG00000189339.12_4	SLC35E2B
1	1603429	1605836	+	ENSG00000269737.2_6	AL691432.1
1	1631381	1633221	+	ENSG00000215914.4_2	MMP23A
1	1633818	1655796	-	ENSG00000008128.23_6	CDK11A
1	1634175	1669127	-	ENSG00000268575.1_8	AL031282.2
1	1655951	1668690	+	ENSG00000227775.3_5	AL031282.1
1	1656277	1677438	-	ENSG00000215790.7_6	SLC35E2A
1	1682671	1711896	-	ENSG00000008130.15_4	NADK
1	1716724	1822556	-	ENSG00000078369.18_4	GNB1
1	1822910	1824097	+	ENSG00000231050.1_6	AL109917.1
1	1846547	1848735	+	ENSG00000169885.10_4	CALML6
1	1849029	1850718	-	ENSG00000178821.13_5	TMEM52
1	1853390	1935276	-	ENSG00000142609.18_5	CFAP74
1	1944652	1947078	-	ENSG00000233542.2_7	AL391845.2
1	1950768	1962197	+	ENSG00000187730.9_3	GABRD
1	1980642	1981509	-	ENSG00000226969.1_7	AL391845.1
1	1981850	2116834	+	ENSG00000067606.17_5	PRKCZ
1	2072523	2076718	-	ENSG00000271806.1_6	AL590822.2
1	2113233	2115828	-	ENSG00000182873.5_7	PRKCZ-AS1
1	2115900	2144159	-	ENSG00000162585.17_5	FAAP20
1	2143962	2152177	+	ENSG00000234396.3_6	AL590822.1
1	2159758	2241652	+	ENSG00000157933.10_3	SKI
1	2246479	2254524	+	ENSG00000287356.1_1	AL590822.3
1	2252692	2323146	-	ENSG00000116151.14_7	MORN1
1	2257640	2258132	-	ENSG00000272161.1_7	AL589739.1
1	2281853	2284259	-	ENSG00000269896.2_5	AL513477.1
1	2294500	2295067	-	ENSG00000272420.1_7	AL513477.2
1	2323214	2336881	+	ENSG00000157916.20_5	RER1
1	2335403	2345236	-	ENSG00000157911.10_6	PEX10
1	2357419	2436971	+	ENSG00000149527.18_6	PLCH2
1	2423739	2424697	-	ENSG00000224387.1_7	AL139246.1
1	2424876	2425918	-	ENSG00000229393.1_7	AL139246.4
1	2439976	2458050	-	ENSG00000157881.15_7	PANK4
1	2460184	2461702	-	ENSG00000197921.6_4	HES5
1	2461503	2478899	+	ENSG00000272449.2_6	AL139246.5
1	2481359	2488470	-	ENSG00000238164.6_9	TNFRSF14-AS1
1	2487078	2496821	+	ENSG00000157873.17_5	TNFRSF14
1	2497849	2501327	+	ENSG00000225931.3_5	AL139246.2
1	2512999	2515972	+	ENSG00000228037.1_6	AL139246.3
1	2517930	2522908	+	ENSG00000157870.16_5	PRXL2B
1	2522078	2564455	-	ENSG00000142606.16_6	MMEL1
1	2564007	2568059	+	ENSG00000237058.1_7	MMEL1-AS1
1	2567415	2718282	-	ENSG00000215912.12_5	TTC34
1	2684638	2701278	+	ENSG00000285945.1_2	AC242022.2
1	2690149	2693019	+	ENSG00000283259.1_6	AC242022.1
1	2728415	2729257	-	ENSG00000233234.1_7	AL592464.2
1	2730621	2734332	+	ENSG00000287396.1_1	AL592464.3
1	2730997	2731563	-	ENSG00000231630.1_7	AL592464.1
1	2877223	2885272	-	ENSG00000284745.1_5	AL589702.1
1	2938031	2939467	+	ENSG00000169717.7_4	ACTRT2
1	2976179	2985001	-	ENSG00000177133.11_7	PRDM16-DT
1	2985732	3355185	+	ENSG00000142611.17_4	PRDM16
1	3049491	3050273	-	ENSG00000226286.1_7	AL008733.1
1	3122552	3125228	+	ENSG00000279839.1_6	AL512383.1
1	3223200	3226660	-	ENSG00000272235.1_6	AL590438.1
1	3229616	3239713	-	ENSG00000287828.1_2	AL354743.2
1	3284379	3290492	-	ENSG00000286518.1_2	AL354743.1
1	3371229	3397677	+	ENSG00000130762.15_5	ARHGEF16
1	3403810	3404191	+	ENSG00000272088.1_6	AL512413.1
1	3404515	3528072	-	ENSG00000162591.16_4	MEGF6
1	3539754	3541307	-	ENSG00000238260.1_7	AL513320.1
1	3541579	3546691	+	ENSG00000158109.15_3	TPRG1L
1	3547331	3569325	-	ENSG00000116213.16_4	WRAP73
1	3569080	3652765	+	ENSG00000078900.15_7	TP73
1	3575502	3585336	-	ENSG00000227589.1_7	AL136528.1
1	3628764	3630862	-	ENSG00000235131.1_7	AL136528.2
1	3652075	3663937	-	ENSG00000227372.12_7	TP73-AS1
1	3663024	3688209	+	ENSG00000162592.10_4	CCDC27
1	3689325	3692546	+	ENSG00000235169.8_6	SMIM1
1	3695123	3713062	-	ENSG00000130764.10_4	LRRC47
1	3701572	3702102	+	ENSG00000272153.1_6	AL365330.1
1	3728650	3773778	-	ENSG00000116198.13_6	CEP104
1	3773831	3801993	+	ENSG00000169598.15_3	DFFB
1	3805689	3816857	-	ENSG00000198912.11_4	C1orf174
1	3816916	3833789	+	ENSG00000236423.6_5	LINC01134
1	4000546	4015322	+	ENSG00000233304.7_5	LINC01346
1	4004607	4009084	-	ENSG00000226374.3_6	LINC01345
1	4036193	4072764	+	ENSG00000284668.2_5	LINC02780
1	4072981	4079568	-	ENSG00000284703.1_6	AL805961.1
1	4235588	4235959	-	ENSG00000229280.1_4	EEF1DP6
1	4472087	4484749	+	ENSG00000235054.4_5	LINC01777
1	4539191	4544435	-	ENSG00000284694.1_5	AL355602.1
1	4611795	4612205	-	ENSG00000227169.2_7	Z98747.1
1	4631541	4654076	+	ENSG00000232596.3_5	LINC01646
1	4714669	4852594	+	ENSG00000196581.11_3	AJAP1
1	4790271	4795052	-	ENSG00000287586.1_2	Z98886.1
1	5024014	5033358	-	ENSG00000284739.1_6	BX005132.1
1	5033441	5041628	+	ENSG00000284674.1_5	LINC02781
1	5146519	5150959	-	ENSG00000231510.1_8	LINC02782
1	5361988	5367454	-	ENSG00000284616.1_5	AL139823.1
1	5538796	5553117	-	ENSG00000284692.2_5	Z98259.3
1	5540847	5542088	-	ENSG00000284666.1_5	Z98259.2
1	5553038	5554734	+	ENSG00000260972.1_6	Z98259.1
1	5614807	5614941	+	ENSG00000283356.1_6	Z97988.2
1	5621769	5728355	-	ENSG00000236948.2_8	AL365255.1
1	5922871	6052533	-	ENSG00000131697.18_6	NPHP4
1	6050987	6161253	+	ENSG00000069424.15_3	KCNAB2
1	6161847	6240381	-	ENSG00000116254.18_5	CHD5
1	6219490	6257817	-	ENSG00000285629.1_2	AL031847.2
1	6245080	6269449	-	ENSG00000116251.11_6	RPL22
1	6264900	6265840	-	ENSG00000226944.1_8	AL031847.1
1	6265535	6281359	+	ENSG00000158286.13_3	RNF207
1	6281253	6296032	-	ENSG00000116237.16_4	ICMT
1	6294752	6299504	+	ENSG00000225077.3_4	LINC00337
1	6304239	6305638	+	ENSG00000173673.8_3	HES3
1	6307413	6321158	-	ENSG00000158292.7_4	GPR153
1	6324329	6454451	-	ENSG00000097021.19_4	ACOT7
1	6453615	6454451	+	ENSG00000271746.1_6	AL031848.2
1	6472478	6484730	-	ENSG00000069812.11_4	HES2
1	6484836	6521427	+	ENSG00000187017.17_7	ESPN
1	6503094	6507066	-	ENSG00000231868.1_7	AL031848.1
1	6520846	6526255	-	ENSG00000215788.10_8	TNFRSF25
1	6526152	6580121	-	ENSG00000171680.22_5	PLEKHG5
1	6581407	6614573	-	ENSG00000162408.11_4	NOL9
1	6607965	6608679	+	ENSG00000229519.2_5	AL591866.1
1	6615367	6639815	+	ENSG00000173662.21_4	TAS1R1
1	6640054	6649340	+	ENSG00000204859.13_4	ZBTB48
1	6650784	6674667	-	ENSG00000162413.16_5	KLHL21
1	6673791	6684090	+	ENSG00000116273.6_3	PHF13
1	6684926	6695646	+	ENSG00000041988.15_5	THAP3
1	6694228	6761984	-	ENSG00000007923.16_5	DNAJC11
1	6784697	6790072	+	ENSG00000228750.7_5	LINC01672
1	6828014	6830098	+	ENSG00000284744.1_4	AL591163.1
1	6843952	6844903	-	ENSG00000237436.1_7	CAMTA1-DT
1	6845514	7829766	+	ENSG00000171735.19_4	CAMTA1
1	6894393	6894678	-	ENSG00000227950.1_5	AL590128.1
1	7068436	7074339	-	ENSG00000237365.1_7	AL512330.1
1	7429003	7430331	+	ENSG00000237402.1_6	CAMTA1-IT1
1	7442548	7449814	-	ENSG00000237728.2_7	CAMTA1-AS2
1	7501156	7501614	-	ENSG00000225126.1_7	CAMTA1-AS1
1	7753184	7754904	-	ENSG00000270171.1_6	AL359881.3
1	7758363	7758932	-	ENSG00000270035.1_6	AL359881.2
1	7760764	7761030	-	ENSG00000269978.1_6	AL359881.1
1	7831356	7841492	+	ENSG00000049245.13_4	VAMP3
1	7836443	7836835	+	ENSG00000269925.1_7	Z98884.2
1	7844380	7905237	+	ENSG00000049246.14_2	PER3
1	7870302	7887402	-	ENSG00000236266.1_7	Z98884.1
1	7903143	7913572	-	ENSG00000049247.13_3	UTS2
1	7975954	8003225	-	ENSG00000049249.8_4	TNFRSF9
1	8002432	8002786	+	ENSG00000270330.1_5	AL009183.1
1	8014351	8045565	+	ENSG00000116288.13_4	PARK7
1	8051194	8065372	+	ENSG00000284747.1_5	AL034417.5
1	8058247	8059994	-	ENSG00000284716.1_5	AL034417.4
1	8064464	8086369	-	ENSG00000116285.13_4	ERRFI1
1	8086798	8182762	+	ENSG00000238290.1_7	AL034417.3
1	8117305	8118523	-	ENSG00000232848.1_6	AL034417.2
1	8249884	8252830	+	ENSG00000229305.1_5	AL358876.1
1	8261578	8275270	+	ENSG00000227634.3_5	LINC01714
1	8278250	8280589	-	ENSG00000233645.1_7	AL358876.2
1	8377886	8404227	+	ENSG00000162426.14_3	SLC45A1
1	8412457	8908980	-	ENSG00000142599.19_7	RERE
1	8484705	8495073	+	ENSG00000232912.6_7	RERE-AS1
1	8572712	8573080	+	ENSG00000270282.1_7	AL096855.2
1	8810489	8811146	+	ENSG00000234619.1_4	RPL7P11
1	8846270	8846972	-	ENSG00000224315.2_4	RPL7P7
1	8858534	8859565	+	ENSG00000226545.1_6	AL357552.2
1	8865919	8867110	-	ENSG00000228423.2_8	AL357552.3
1	8891066	8891434	+	ENSG00000229716.2_4	RPL23AP19
1	8921059	8939249	-	ENSG00000074800.16_8	ENO1
1	8938894	8939953	+	ENSG00000230679.1_6	ENO1-AS1
1	8953468	8954210	+	ENSG00000238249.2_4	HMGN2P17
1	8967452	8967803	-	ENSG00000232208.2_5	AL139415.1
1	8969801	8969963	+	ENSG00000232663.2_5	AL139415.2
1	9005926	9035151	+	ENSG00000131686.15_3	CA6
1	9063359	9086404	-	ENSG00000197241.3_3	SLC2A7
1	9095165	9148537	-	ENSG00000142583.18_5	SLC2A5
1	9160364	9189161	-	ENSG00000180758.12_5	GPR157
1	9208070	9258965	-	ENSG00000228526.7_6	MIR34AHG
1	9242063	9256343	+	ENSG00000234546.4_5	LNCTAM34A
1	9294834	9331396	+	ENSG00000049239.12_3	H6PD
1	9352953	9429591	+	ENSG00000171621.14_3	SPSB1
1	9481157	9482921	-	ENSG00000284652.1_4	BX323043.1
1	9485153	9500623	-	ENSG00000284693.1_6	LINC02606
1	9497728	9497837	-	ENSG00000252956.1_1	RNA5SP40
1	9561151	9563530	-	ENSG00000235263.1_7	AL928921.1
1	9599524	9645231	+	ENSG00000171612.7_4	SLC25A33
1	9636485	9637043	+	ENSG00000231181.1_5	AL954705.1
1	9648969	9674935	+	ENSG00000188807.13_4	TMEM201
1	9711789	9789172	+	ENSG00000171608.16_3	PIK3CD
1	9712668	9714644	-	ENSG00000179840.5_7	PIK3CD-AS1
1	9720886	9722684	-	ENSG00000233268.3_6	AL691449.1
1	9732484	9747613	-	ENSG00000231789.2_7	PIK3CD-AS2
1	9788984	9884042	-	ENSG00000171603.18_4	CLSTN1
1	9840880	9841298	+	ENSG00000271264.1_4	MZT1P1
1	9886347	9888329	-	ENSG00000280113.2_4	AL357140.3
1	9908334	9970394	-	ENSG00000178585.15_4	CTNNBIP1
1	9908376	9910212	+	ENSG00000223989.1_6	AL357140.1
1	9960672	9968092	+	ENSG00000285701.1_3	AL357140.4
1	9982171	10003465	-	ENSG00000162441.12_5	LZIC
1	10002981	10010032	+	ENSG00000228150.1_7	AL357140.2
1	10003486	10045559	+	ENSG00000173614.14_4	NMNAT1
1	10010630	10020845	-	ENSG00000283611.2_7	TMEM274P
1	10043199	10044626	+	ENSG00000241326.1_7	AL603962.1
1	10057264	10076079	+	ENSG00000162444.12_3	RBP7
1	10092890	10241297	+	ENSG00000130939.20_6	UBE4B
1	10114503	10114839	-	ENSG00000224340.1_5	AL590639.1
1	10118729	10119706	+	ENSG00000233623.2_4	PGAM1P11
1	10270863	10441661	+	ENSG00000054523.17_4	KIF1B
1	10441964	10447207	-	ENSG00000284735.1_5	AL139424.3
1	10455473	10457489	+	ENSG00000284642.1_4	AL139424.2
1	10458649	10480568	+	ENSG00000142657.21_4	PGD
1	10489938	10490734	-	ENSG00000271989.1_6	AL139424.1
1	10490159	10512210	+	ENSG00000251503.8_6	CENPS-CORT
1	10490490	10502865	+	ENSG00000175279.22_4	CENPS
1	10509776	10511959	+	ENSG00000241563.3_3	CORT
1	10516579	10532586	-	ENSG00000160049.12_4	DFFA
1	10518612	10519395	+	ENSG00000203469.2_6	AL354956.1
1	10532345	10690815	+	ENSG00000142655.13_3	PEX14
1	10672279	10676509	-	ENSG00000287727.1_2	AL139423.2
1	10696661	10856707	-	ENSG00000130940.15_4	CASZ1
1	10699298	10714390	+	ENSG00000272078.1_6	AL139423.1
1	10955818	10956055	+	ENSG00000225158.2_4	HSPE1P24
1	11006528	11042094	-	ENSG00000175262.14_5	C1orf127
1	11051035	11051854	-	ENSG00000215785.2_5	CFL1P6
1	11072401	11086477	+	ENSG00000120948.17_7	TARDBP
1	11072719	11090585	+	ENSG00000277726.4_7	AL109811.3
1	11086580	11107296	-	ENSG00000009724.17_4	MASP2
1	11089716	11090585	+	ENSG00000271895.2_8	AL109811.2
1	11114641	11120077	-	ENSG00000116649.10_7	SRM
1	11126675	11159926	-	ENSG00000171824.14_5	EXOSC10
1	11128528	11133154	+	ENSG00000226849.1_7	AL109811.1
1	11159732	11162157	+	ENSG00000230337.1_7	EXOSC10-AS1
1	11166592	11322608	-	ENSG00000198793.13_7	MTOR
1	11203955	11209594	+	ENSG00000225602.5_6	MTOR-AS1
1	11249412	11256038	+	ENSG00000171819.5_3	ANGPTL7
1	11293020	11293169	+	ENSG00000238173.1_4	RPL39P6
1	11333263	11356106	+	ENSG00000120942.13_5	UBIAD1
1	11338673	11339408	-	ENSG00000238199.1_5	UBE2V2P3
1	11371791	11379150	-	ENSG00000284646.1_5	AL031291.1
1	11485314	11485878	-	ENSG00000224338.2_4	MTCYBP45
1	11539212	11597608	+	ENSG00000204624.8_4	DISP3
1	11560860	11562073	-	ENSG00000285833.1_3	AL590989.1
1	11669525	11673415	+	ENSG00000235643.2_5	LINC01647
1	11683615	11703473	+	ENSG00000284708.1_4	AL031731.1
1	11697075	11715842	-	ENSG00000116661.11_6	FBXO2
1	11714432	11723384	+	ENSG00000132879.14_5	FBXO44
1	11724257	11734411	+	ENSG00000116663.11_3	FBXO6
1	11734537	11751707	-	ENSG00000116670.15_6	MAD2L2
1	11751767	11785914	+	ENSG00000162490.7_3	DRAXIN
1	11796141	11814859	+	ENSG00000177674.16_6	AGTRAP
1	11821844	11849642	+	ENSG00000215910.7_3	C1orf167
1	11837134	11839676	-	ENSG00000177553.6_7	C1orf167-AS1
1	11845780	11866512	-	ENSG00000177000.13_7	MTHFR
1	11866153	11908136	+	ENSG00000011021.23_5	CLCN6
1	11905766	11908402	-	ENSG00000175206.10_4	NPPA
1	11917521	11919002	-	ENSG00000120937.9_4	NPPB
1	11937827	11940463	+	ENSG00000224904.1_5	AL021155.1
1	11967997	11974355	+	ENSG00000285646.2_3	AL021155.5
1	11979648	11986485	-	ENSG00000116685.16_4	KIAA2013
1	11994262	12035595	+	ENSG00000083444.17_4	PLOD1
1	12039590	12040184	-	ENSG00000287384.1_2	AL096840.3
1	12040238	12073571	+	ENSG00000116688.17_7	MFN2
1	12077273	12077365	-	ENSG00000270914.1_6	AL096840.2
1	12079523	12092102	+	ENSG00000116691.11_3	MIIP
1	12123360	12204264	+	ENSG00000120949.15_3	TNFRSF8
1	12140350	12140604	-	ENSG00000227875.2_4	RPL23AP89
1	12148498	12152321	-	ENSG00000285604.1_3	AL357835.1
1	12227048	12269285	+	ENSG00000028137.19_4	TNFRSF1B
1	12280851	12281166	-	ENSG00000225196.2_4	RPL10P17
1	12290087	12572099	+	ENSG00000048707.15_8	VPS13D
1	12587766	12588462	+	ENSG00000229484.1_7	LINC02766
1	12627939	12678216	-	ENSG00000162496.9_5	DHRS3
1	12678906	12679250	-	ENSG00000272482.1_6	AC254633.1
1	12704566	12727097	+	ENSG00000204518.2_2	AADACL4
1	12752925	12753036	+	ENSG00000226166.2_5	AC244670.1
1	12776113	12788727	+	ENSG00000188984.12_4	AADACL3
1	12806148	12823847	+	ENSG00000157330.10_4	C1orf158
1	12834984	12838049	+	ENSG00000116726.4_2	PRAMEF12
1	12851546	12856777	+	ENSG00000116721.9_4	PRAMEF1
1	12882549	12883022	-	ENSG00000228338.1_6	LINC01784
1	12897978	12901210	-	ENSG00000231103.2_5	PRAMEF30P
1	12907261	12908578	-	ENSG00000179172.9_4	HNRNPCL1
1	12916941	12921764	+	ENSG00000120952.4_3	PRAMEF2
1	12939033	12946025	-	ENSG00000243073.4_4	PRAMEF4
1	12952727	12958101	-	ENSG00000187545.5_4	PRAMEF10
1	12976430	12980302	+	ENSG00000204510.5_3	PRAMEF7
1	12985990	12988081	+	ENSG00000234064.1_4	PRAMEF29P
1	12998302	13007406	-	ENSG00000232423.6_5	PRAMEF6
1	13162650	13165443	-	ENSG00000277862.1_2	PRAMEF34P
1	13171871	13173157	-	ENSG00000236179.1_5	PRAMEF35P
1	13182960	13184326	-	ENSG00000275774.3_4	HNRNPCL2
1	13182991	13183872	-	ENSG00000179412.10_4	HNRNPCL4
1	13379149	13381237	-	ENSG00000231219.1_5	PRAMEF32P
1	13447429	13452656	-	ENSG00000279169.3_6	PRAMEF13
1	13448050	13450861	-	ENSG00000274178.2_5	PRAMEF28P
1	13668269	13673511	-	ENSG00000204481.8_4	PRAMEF14
1	13695525	13698358	-	ENSG00000204480.8_4	PRAMEF19
1	13716092	13719089	+	ENSG00000204479.4_3	PRAMEF17
1	13736907	13747803	+	ENSG00000204478.9_2	PRAMEF20
1	13801441	13840498	-	ENSG00000162494.6_4	LRRC38
1	13839715	13842765	+	ENSG00000259961.1_6	AL354712.1
1	13881496	13882189	+	ENSG00000215909.3_4	BRWD1P1
1	13909960	13944452	+	ENSG00000162493.16_4	PDPN
1	13949679	13949779	-	ENSG00000222952.1_1	RNA5SP41
1	13983806	13986405	-	ENSG00000237445.2_7	AL359771.1
1	14026693	14151574	+	ENSG00000116731.22_5	PRDM2
1	14219287	15444539	+	ENSG00000189337.17_6	KAZN
1	14548382	14630940	-	ENSG00000231606.2_7	AL357873.1
1	14665320	14746469	-	ENSG00000234593.3_7	KAZN-AS1
1	15018625	15019109	-	ENSG00000235829.1_5	TBCAP2
1	15100965	15104223	-	ENSG00000287756.1_2	AL031293.1
1	15438311	15480114	-	ENSG00000175147.13_7	TMEM51-AS1
1	15479028	15546974	+	ENSG00000171729.14_5	TMEM51
1	15490840	15497813	-	ENSG00000204464.7_4	C1orf195
1	15518324	15519341	-	ENSG00000215720.4_6	AL035405.1
1	15552869	15554045	+	ENSG00000278480.1_5	AL391094.1
1	15573768	15726779	+	ENSG00000142621.19_4	FHAD1
1	15653176	15670372	-	ENSG00000233485.1_8	FHAD1-AS1
1	15660662	15661960	-	ENSG00000236045.1_8	AL031283.2
1	15729475	15735929	-	ENSG00000228140.2_7	AL031283.1
1	15736384	15756835	+	ENSG00000142634.13_3	EFHD2
1	15764938	15775737	+	ENSG00000162438.12_3	CTRC
1	15783223	15798586	+	ENSG00000142615.8_4	CELA2A
1	15792404	15817890	+	ENSG00000215704.10_4	CELA2B
1	15817327	15853029	-	ENSG00000132906.18_7	CASP9
1	15853308	15918874	+	ENSG00000116138.13_3	DNAJC16
1	15892106	15892451	-	ENSG00000272510.1_6	AL121992.3
1	15898194	15911546	-	ENSG00000116771.6_4	AGMAT
1	15912631	15930121	-	ENSG00000237301.1_7	AL121992.1
1	15931092	15931538	+	ENSG00000235084.3_4	CHCHD2P6
1	15941138	15941362	-	ENSG00000236500.1_4	CD24P1
1	15943953	15995539	+	ENSG00000197312.12_4	DDI2
1	15986364	15988217	+	ENSG00000215695.1_3	RSC1A1
1	16009368	16009623	-	ENSG00000271742.1_6	AL121992.2
1	16010815	16061264	+	ENSG00000116786.13_5	PLEKHM2
1	16046807	16063391	-	ENSG00000237938.5_8	AL450998.3
1	16062753	16067887	+	ENSG00000162461.8_3	SLC25A34
1	16066546	16076391	-	ENSG00000224459.1_7	SLC25A34-AS1
1	16068994	16074477	+	ENSG00000162460.7_3	TMEM82
1	16083102	16113089	+	ENSG00000162458.13_5	FBLIM1
1	16119291	16119780	+	ENSG00000224321.1_4	RPL12P14
1	16133664	16135843	-	ENSG00000233954.6_2	UQCRHL
1	16154727	16155164	+	ENSG00000178715.8_5	AL450998.1
